sample,X_D65,Y_D65,Z_D65,x_D65,y_D65,X_F2,Y_F2,Z_F2,x_F2,y_F2
32,0.356948334109,0.365784240307,0.382022001025,0.32310192874,0.331100000342,0.392959068255,0.37437251787,0.20226123069,0.40528256959,0.386113130561
33,0.250255478041,0.25463489945,0.265026980739,0.325042000113,0.330730170879,0.276459027749,0.262225144981,0.140302971535,0.407163861768,0.386200456365
34,0.165395724531,0.166939490817,0.173392183975,0.327045212011,0.330097778053,0.183166258234,0.172972357157,0.0918124230208,0.408897943139,0.386141212599
35,0.10959715647,0.109396332149,0.112657589652,0.330459219494,0.32985369057,0.121570437818,0.113817236388,0.0595369388371,0.412208518521,0.385919761711
36,0.0605777128097,0.0595506251317,0.0616848375263,0.333186594722,0.327537456944,0.0670842992667,0.0615309515723,0.0327020960318,0.415852979038,0.38142799126
37,0.0493704043812,0.0481287415939,0.0492542256919,0.336417513413,0.327956632595,0.0544980331557,0.0497635599782,0.026131289818,0.417952513373,0.38164322202
38,0.678946816357,0.687952102865,0.696069909031,0.329111524643,0.333476731904,0.751293042953,0.709115241633,0.369127619978,0.410646788116,0.387592962709
39,0.494116632601,0.497348175973,0.507541462776,0.329629463228,0.331785253657,0.547608371777,0.514907688485,0.268767289862,0.411338706915,0.386775428715
40,0.361370118149,0.359821241954,0.36204241273,0.333603075543,0.332173212263,0.402271059752,0.375543758972,0.191612349875,0.414957484979,0.387387285127
41,0.26317143504,0.259868417886,0.262807612393,0.334888698704,0.330685571125,0.293531753769,0.27253352197,0.138795209473,0.41643950814,0.386648886819
42,0.173757915475,0.169578991452,0.170230258044,0.338335328515,0.330198273992,0.194398477055,0.178924184194,0.090013830614,0.419562198249,0.386164671543
43,0.117727764031,0.111294191802,0.108695297666,0.348598606709,0.329548433339,0.131616678226,0.117840508567,0.0574125957898,0.428900744539,0.384008186062
44,0.0685752701986,0.0633108017205,0.0601347248672,0.357124183142,0.329708046108,0.076714632674,0.0669719546652,0.0318854745899,0.436941002065,0.381449952398
45,0.05091361017,0.0469676504869,0.0462942441215,0.353136340658,0.325767199908,0.0553158661205,0.048630503499,0.0245113561028,0.430615331305,0.378572041701
46,0.544432484315,0.516224409961,0.478762832038,0.353660847012,0.335337011172,0.615357847066,0.553843122708,0.253492614221,0.432530134379,0.389291924093
47,0.392638053634,0.367536042924,0.341477568753,0.356408532749,0.333622736203,0.44441459991,0.39640742642,0.180696725277,0.435052806628,0.388056925824
48,0.279189298779,0.256456373636,0.235720044233,0.361941544398,0.332470536479,0.316914838882,0.278807930953,0.124623831002,0.439947711996,0.3870469169
49,0.185560542444,0.166347374228,0.148510940401,0.370810451727,0.332416278638,0.210162472047,0.180992160413,0.0785694733354,0.447416833528,0.385315886879
50,0.124536170214,0.10799165449,0.0934137178664,0.382081305843,0.331322155618,0.139352155457,0.116386854336,0.0493920722788,0.456696035393,0.38143231278
51,0.0759642234672,0.063701605837,0.0536853362255,0.392882159562,0.329460676704,0.0837609526179,0.0677689786644,0.0283654259379,0.465609307056,0.376713327746
52,0.415697394976,0.36587880245,0.311016431081,0.380468789675,0.334872113269,0.473876002893,0.403097163739,0.164444758476,0.455029620163,0.387065705343
53,0.294530821652,0.253927606443,0.21074641017,0.387946449768,0.334465211027,0.336429582198,0.28158008683,0.111393303757,0.461239664151,0.386041868948
54,0.200383068638,0.166124890371,0.130862685748,0.402884791754,0.334006222768,0.227427044525,0.184032106212,0.0691953228543,0.47316119379,0.382878172
55,0.13557871498,0.108957285718,0.0828923534443,0.414071393832,0.332766800247,0.148978619586,0.116894197204,0.0438799916688,0.480959705668,0.377378974497
56,0.0833920157398,0.0630409552217,0.0470137582066,0.431085167986,0.325882766242,0.0855765554836,0.0645083265525,0.0249090467871,0.489025853977,0.368631797608
57,0.449718895648,0.372927498977,0.287136223274,0.405231518673,0.336036529102,0.511830588799,0.41557902179,0.151732418861,0.474293999151,0.38510132165
58,0.320791893473,0.258302965766,0.194159621943,0.414859404348,0.334046516447,0.363617404488,0.288092861114,0.102661289847,0.482013673318,0.381897831424
59,0.224173782753,0.174075252977,0.121388043176,0.431404516447,0.334993902559,0.251479029144,0.193040687006,0.0642072939354,0.494330012283,0.379458301169
60,0.145143112133,0.107769542986,0.0732061924303,0.445062017186,0.330460946358,0.152471402196,0.112762496394,0.0388286505366,0.501447490439,0.370852960083
61,0.459323113062,0.358992290308,0.254664576553,0.428081717885,0.334575012605,0.51651104036,0.400699666509,0.134706501065,0.491018719406,0.380923197649
62,0.341708119312,0.257677784974,0.172519748945,0.442681197996,0.333820310676,0.393066211373,0.297661059132,0.0914912757107,0.502501779425,0.380534392303
63,0.236638969647,0.170719831679,0.106522172378,0.460493736402,0.332216681323,0.255803287098,0.185096886658,0.0563946463631,0.514389607028,0.372207550068
64,0.168589379681,0.114132005146,0.0636503694614,0.486729583442,0.329507252635,0.166450680586,0.115299743553,0.0338018192529,0.527490087843,0.365390346505
65,0.360205568704,0.255093622232,0.155914482686,0.467063255002,0.330769060452,0.408107087355,0.29426683773,0.0826359334965,0.519875110986,0.374857505945
66,0.257011893982,0.172610951876,0.0954266431194,0.489500322118,0.328751775784,0.261055247839,0.179057914873,0.0504439599959,0.53216075306,0.365009305918
67,0.171939103022,0.108134640018,0.0538821108272,0.514855784173,0.323799205092,0.159798344995,0.10456152304,0.0287263300014,0.545226442137,0.356760310587
68,0.372373510693,0.255720426164,0.1479854536,0.479813683074,0.329502921104,0.415271437779,0.292101124855,0.0784394789764,0.528461535061,0.371718820008
69,0.273949220336,0.177501467794,0.0938675646159,0.502365763399,0.325500690468,0.288966410187,0.192974334355,0.0498826880792,0.543350278424,0.362854140149
70,0.177311600566,0.106071796118,0.0486642147437,0.533994507003,0.319447550494,0.163681624044,0.102390123153,0.0257930784419,0.560813121916,0.350813507345
71,0.688844151548,0.701524855465,0.703783978672,0.328936881048,0.334992171184,0.761776079599,0.721642338936,0.373419301128,0.410254526571,0.388640499541
72,0.507121771374,0.515145040521,0.514007430636,0.330098466364,0.33532101643,0.562328746025,0.531901934799,0.27223182407,0.411521533896,0.389254687117
73,0.370231191175,0.369817944847,0.368073089403,0.334106818436,0.333733893574,0.412807067502,0.386487001027,0.194838599439,0.415243438631,0.388768032155
74,0.262944733371,0.258753897444,0.253237414491,0.339311527659,0.333903551153,0.294728048151,0.273175843016,0.13396955515,0.419916225207,0.389209542617
75,0.179498718847,0.174579914827,0.170735888142,0.342023155583,0.332650693854,0.20201158795,0.18561538171,0.0902487508664,0.422728293723,0.388417686309
76,0.11684706339,0.111450771573,0.106177468194,0.349344367991,0.333210764805,0.131268769662,0.118646388937,0.0561547980604,0.428884857222,0.387644675198
77,0.0683359781193,0.0635020503937,0.0585971407513,0.358841165649,0.333457578445,0.0767547324852,0.0673291851411,0.0310449431274,0.43827574824,0.384455108377
78,0.0543058275247,0.0504657188251,0.0473462891335,0.356998423967,0.33175412117,0.0595773191071,0.0525067352661,0.0250887486836,0.434323114928,0.382778029581
79,0.533077649318,0.503366504451,0.444691970332,0.359911314459,0.339851615432,0.605590752871,0.543544028904,0.235416943184,0.437391208977,0.392577625744
80,0.396674191341,0.371353301574,0.330864053467,0.360976652015,0.337934442026,0.45269767699,0.405018799532,0.174898163767,0.438399437048,0.392226474165
81,0.283174040795,0.26056711821,0.225381249267,0.368178118007,0.338784978058,0.32479189886,0.286844237981,0.119166977095,0.44443146542,0.392505494997
82,0.188702711398,0.170633898707,0.14711348282,0.372598828659,0.336921448117,0.215683646416,0.18760491541,0.0776962084138,0.448420947525,0.390043358996
83,0.124719398692,0.108688481744,0.0891881743359,0.386611667585,0.336918198894,0.141324014684,0.118697075667,0.0471741451042,0.460046245427,0.386389702598
84,0.0764045199506,0.0638859168726,0.0486558982848,0.404371537066,0.338116729473,0.0831290213873,0.0676716150845,0.0257237157307,0.470920982573,0.383355691383
85,0.419800047082,0.371583191749,0.29579825905,0.386136121614,0.341785794252,0.485327031528,0.416013617418,0.156409212804,0.45882968089,0.393300564208
86,0.296245308779,0.254855368622,0.194430681509,0.397361298406,0.341843928597,0.343027478217,0.287829231993,0.102653109852,0.467652196106,0.392399970826
87,0.197823811983,0.164758094438,0.119414034689,0.410426302611,0.341824651175,0.228316049523,0.186492174356,0.0631417407925,0.477698642952,0.390191836261
88,0.125649658994,0.101648997448,0.0702409686092,0.422295547938,0.341631799228,0.141305900676,0.11179825894,0.0371385676892,0.486854234,0.385188838245
89,0.0781806191298,0.0615161145856,0.0413130421348,0.431913794504,0.339849681028,0.0830799381532,0.0645896689685,0.0219043350705,0.489933400611,0.380893833885
90,0.450339961847,0.376154346565,0.258860605675,0.414924146933,0.3465726664,0.525962506355,0.432392516252,0.136768470642,0.480276890778,0.394834481149
91,0.308682993141,0.251060989187,0.166797602978,0.424866242186,0.345556254817,0.358991147676,0.28876330336,0.0880563874802,0.487885104275,0.392442307512
92,0.210853529778,0.163766536927,0.100541586872,0.443751149089,0.344654362771,0.241854375912,0.186776474439,0.0531612953035,0.501989038413,0.387670235232
93,0.147717886071,0.110252829398,0.064105142317,0.458643150364,0.342319446592,0.155049698923,0.115596302168,0.0339578241135,0.509020852968,0.379497211142
94,0.468396406886,0.369144411139,0.223273179135,0.441544331183,0.34798222132,0.542555971517,0.426754542304,0.11796299483,0.499005969703,0.392499715029
95,0.338793015843,0.257201101955,0.143711171348,0.458010806215,0.347707533972,0.391508051979,0.298652378154,0.0758430437774,0.511104799539,0.389883842993
96,0.248327727801,0.180763594776,0.0912689540344,0.477222683903,0.347381617892,0.275640984209,0.201966702121,0.0482246299062,0.52419939912,0.384089558373
97,0.160843264344,0.111791970668,0.0525485742637,0.494622609602,0.34378086325,0.17034624314,0.12022273557,0.0278199252478,0.535025690351,0.377597127523
98,0.354491935406,0.254718674057,0.119101477658,0.486730814543,0.349738358818,0.405193210533,0.296562801587,0.0628085337853,0.529965995289,0.38788458499
99,0.263954648544,0.182020207904,0.0819542051728,0.499981281071,0.344781564677,0.280625414626,0.197067840653,0.0433711076225,0.538561902532,0.378202492214
100,0.168385136032,0.11112600084,0.0460611881159,0.517197326395,0.341325082972,0.177335434529,0.119581172956,0.0244613299037,0.551797164329,0.372088930334
101,0.668278843476,0.693405590188,0.708364898506,0.322832327274,0.334970562977,0.735176140861,0.70560237681,0.375946385877,0.404671141693,0.388392527362
102,0.497688638354,0.514727200636,0.526757817975,0.323347944595,0.334417886056,0.547845806683,0.524879097528,0.279300763504,0.405203702685,0.388216814268
103,0.371872087576,0.382176252058,0.383939273144,0.326780435393,0.335835160037,0.410926796538,0.390789552169,0.203407330536,0.408832072136,0.388797478598
104,0.257387620866,0.262126831125,0.267306556438,0.327123472949,0.333146711026,0.28474038807,0.270009546982,0.141361803417,0.409044083492,0.387882479293
105,0.178268701101,0.180653566182,0.183073721675,0.328911476714,0.333311629352,0.197707826284,0.186863435914,0.0968955649124,0.410636445029,0.388112794885
106,0.113936541966,0.113408983293,0.113858217953,0.333925240368,0.3323790713,0.127006882484,0.118692653635,0.0602244613747,0.415158286125,0.387980853439
107,0.0682934024822,0.067199732398,0.0659909233219,0.338951890743,0.3335238182,0.0761850978708,0.0699540242052,0.0350276751238,0.420524616256,0.38613049017
108,0.0495379648242,0.047959464586,0.0475526047859,0.341523289524,0.330640836121,0.0543482589136,0.0491855715654,0.0252404439426,0.422042827713,0.381951843925
109,0.682146102597,0.693674141283,0.677278688627,0.332251939639,0.337866885175,0.757398113017,0.716783103234,0.359083433474,0.413141721317,0.390987249627
110,0.521496372633,0.526964229639,0.519950932012,0.332499705105,0.335985943816,0.579515206087,0.546099683745,0.275488279321,0.413613514583,0.38976407717
111,0.391256042054,0.391199672557,0.371150258288,0.339159168074,0.339110304339,0.437107365066,0.406838299999,0.196557144699,0.420092440851,0.391001635153
112,0.274260905133,0.270426448851,0.257871659829,0.341733007059,0.336955219737,0.307825459984,0.285401899573,0.13636379425,0.421915011412,0.391180592149
113,0.183734263784,0.17898117808,0.166942510406,0.346892297182,0.33791841945,0.206722356147,0.188837147689,0.0883937319139,0.427153577818,0.390197097032
114,0.117487614298,0.112491757795,0.102666320079,0.353191449829,0.338172898199,0.133063324539,0.120669065519,0.0540382229921,0.432345776033,0.392074682904
115,0.0744104517763,0.0699122221136,0.0595391076564,0.365004422172,0.34293932675,0.0836431632513,0.0737984107881,0.0312234140907,0.443342265464,0.391161134451
116,0.0558274894317,0.0505180086459,0.0445343690211,0.370012848667,0.334822727627,0.0625682034226,0.0535994466346,0.0236693837004,0.447436574856,0.383299367802
117,0.56172225815,0.532872073676,0.444146481938,0.365053200075,0.346303983692,0.641492080024,0.577639249829,0.23495063033,0.441166383732,0.397253570051
118,0.397550026349,0.376542551772,0.312570578422,0.365844764272,0.346512670007,0.451987122766,0.403671080912,0.165200821463,0.442751752823,0.395422943786
119,0.290337748854,0.268882648564,0.212896663087,0.376028148717,0.348240781505,0.335224042562,0.29718671547,0.112484845093,0.450028220271,0.398964249786
120,0.197847028951,0.178686736907,0.137208755065,0.385109312337,0.347813797048,0.228094377395,0.196752293067,0.0726823899658,0.458454380934,0.395458896206
121,0.124952080284,0.108157546686,0.0807380378721,0.398129711581,0.344617974903,0.143076396475,0.119627716214,0.0427747566491,0.468367572477,0.391607172284
