sample,status,n_meta,xy_hull_area,xy_spread_max,xy_spread_mean,score,i1_err_xy_max,i1_err_y_max,dist_to_white_i1
1236,ok,2159,0.00101761562486,0.0558663288632,0.0120912516584,0.180398454178,2.00148302124e-16,4.16333634234e-17,0.0131942996039
502,ok,2099,0.00101755379025,0.0539523817533,0.0100712823774,0.178073093059,1.75541673429e-16,4.16333634234e-17,0.0144024506087
562,ok,2023,0.000983943163061,0.0537799513561,0.0102146797381,0.173896066871,1.75541673429e-16,2.77555756156e-17,0.0119629470264
35,ok,2008,0.000958101965845,0.0507320021363,0.00983598846978,0.167671435732,1.57009245868e-16,2.77555756156e-17,0.0171634535715
439,ok,3767,0.000936643540406,0.0501654883932,0.00878033618566,0.164318780479,3.92523114671e-16,2.77555756156e-17,0.0212669800408
106,ok,1762,0.000916414685201,0.0483635921505,0.00959446874931,0.160252248125,1.75541673429e-16,5.55111512313e-17,0.0205239409328
1033,ok,1332,0.000698788340766,0.0486377549663,0.010002040358,0.13449276393,2.77555756156e-16,5.55111512313e-17,0.0140294932351
778,ok,1263,0.000702458902223,0.0473335670009,0.00980725657661,0.133590086583,1.57009245868e-16,5.55111512313e-17,0.0185383113237
1098,ok,1296,0.000697247683476,0.0474297131949,0.0105852166979,0.133216478552,1.66533453694e-16,5.55111512313e-17,0.0101617594518
896,ok,1568,0.000684467874989,0.0486598452821,0.00897722164467,0.13259143461,1.75541673429e-16,8.32667268469e-17,0.0162432280279
726,ok,1285,0.00068766196888,0.0477714151824,0.00974689503145,0.132240230454,1.57009245868e-16,8.32667268469e-17,0.016160729413
34,ok,1104,0.000688536744223,0.0460799643692,0.0102825638168,0.130760886439,2.77555756156e-16,8.32667268469e-17,0.0137447754042
674,ok,1411,0.000679521384528,0.0458812208239,0.00976763188188,0.129377313344,1.24126707662e-16,5.55111512313e-17,0.0120034974704
619,ok,1470,0.000663037362781,0.0470975553095,0.00919079296682,0.128500197437,2.00148302124e-16,8.32667268469e-17,0.0117062534717
1136,ok,876,0.000660722726521,0.0467696979989,0.0102513571227,0.128106696606,1.57009245868e-16,8.32667268469e-17,0.0144156310645
1069,ok,955,0.00065556164646,0.0454191081563,0.0103044792433,0.12614740158,2.00148302124e-16,5.55111512313e-17,0.0199762830852
834,ok,1193,0.000650149161877,0.0459896297848,0.00975538666832,0.125958606544,1.75541673429e-16,8.32667268469e-17,0.0168720332994
968,ok,1299,0.000652326010229,0.045677927923,0.00942650598795,0.125842350348,1.75541673429e-16,8.32667268469e-17,0.0143401828873
561,ok,1512,0.000650069404701,0.0459479391264,0.00889186116418,0.125734639923,1.75541673429e-16,5.55111512313e-17,0.0116282657221
438,ok,2804,0.000658888300397,0.0445071559664,0.00839761945468,0.125253275905,4.57756679852e-16,8.32667268469e-17,0.019415423342
594,ok,1584,0.000651939055067,0.0451682114166,0.00916601912788,0.12523410185,1.24126707662e-16,5.55111512313e-17,0.0208121944651
172,ok,1159,0.0006519650538,0.0441633204276,0.010526860309,0.124504498945,2.00148302124e-16,8.32667268469e-17,0.0193270023019
1235,ok,1003,0.000637906724554,0.0456391457801,0.0100586317038,0.124199679067,1.57009245868e-16,8.32667268469e-17,0.0102478813297
1205,ok,827,0.000659856176191,0.0426027864638,0.00855776321625,0.12349708025,1.75541673429e-16,5.55111512313e-17,0.019462257393
1106,ok,712,0.000628648843456,0.0459332545483,0.0103423013343,0.12343957603,1.75541673429e-16,8.32667268469e-17,0.0192759585374
1243,ok,817,0.000653494194332,0.0430301785662,0.00852056627046,0.12315359514,1.66533453694e-16,2.77555756156e-17,0.0194359458892
105,ok,980,0.000637635992709,0.0442072795794,0.0102039166431,0.122764382033,2.00148302124e-16,5.55111512313e-17,0.0155740878673
1167,ok,1031,0.000632917343027,0.0444760618921,0.00992599326196,0.122411341708,1.24126707662e-16,5.55111512313e-17,0.00884842504283
501,ok,1655,0.000627687859564,0.0426483891084,0.00874653800933,0.119720239858,1.57009245868e-16,5.55111512313e-17,0.0157649637607
1175,ok,801,0.000611985154984,0.0435152719399,0.00804835836816,0.118563162212,1.75541673429e-16,5.55111512313e-17,0.0167401390439
1068,ok,492,0.000431000116958,0.0409768587259,0.00913420893107,0.0945237145471,1.57009245868e-16,1.11022302463e-16,0.0171227554415
33,ok,545,0.000437521285309,0.0394477736773,0.00861148708008,0.0936726253303,2.00148302124e-16,1.11022302463e-16,0.0116841440114
967,ok,667,0.000412481857191,0.0415983191167,0.00907225822689,0.092910593625,1.24126707662e-16,1.11022302463e-16,0.0143606598756
1032,ok,702,0.000415436225225,0.0409893691207,0.00909201546621,0.092660119241,2.00148302124e-16,5.55111512313e-17,0.0119983484767
895,ok,810,0.000412381046635,0.0415041348459,0.0081526771474,0.0926203958716,1.57009245868e-16,5.55111512313e-17,0.0153943381223
777,ok,714,0.000423020082815,0.0396015067858,0.0094487708725,0.0922536708982,1.24126707662e-16,1.11022302463e-16,0.0191995148781
1097,ok,622,0.000413816153134,0.0407641397825,0.00899795046684,0.092221668252,2.35513868803e-16,5.55111512313e-17,0.00842310115088
437,ok,1263,0.000432440144019,0.038462690867,0.0073513079014,0.0918257697295,3.37661150723e-16,5.55111512313e-17,0.0190635227812
1234,ok,488,0.000415371651256,0.0401780293826,0.00892600846172,0.0918078292257,2.8305244335e-16,1.11022302463e-16,0.00832223449474
500,ok,839,0.000432724647103,0.0382646610625,0.00789659991865,0.0917709386986,1.57009245868e-16,1.11022302463e-16,0.0153284521716
